physical address,number of rooms,area of apartment,number of floors,apartment floor,price,repair,bathroom,view from the windows,terrace,year of construction,elevator,type of house,parking,link
"п. Сосненское, д. Столбово, з/у 41/1Г, д. 5",2,36.4 м²,22,5,8267100,,,,лоджия,,,монолитный,,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_364_m_522_et._4350093346?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, ул. Айвазовского, 5к1",студия,14.4 м²,9,1,4650000,евро,совмещенный,во двор,,1978.0,1,панельный,открытая во дворе,https://www.avito.ru/moskva/kvartiry/kvartira-studiya_144_m_19_et._4471368757?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Фрунзенская наб., 50",1,49.6 м²,16,8,49716000,дизайнерский,совмещенный,во двор,,1956.0,1,кирпичный,,https://www.avito.ru/moskva/kvartiry/1-k._kvartira_496_m_816_et._4602893935?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, ул. Ивана Франко, 20к1",1,35.1 м²,25,2,15400000,косметический,совмещенный,на улицу,лоджия,2022.0,1,монолитный,,https://www.avito.ru/moskva/kvartiry/1-k._kvartira_351_m_225_et._4542148448?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, 2-я Вольская ул., 2",студия,13.5 м²,9,2,3100000,требует ремонта,совмещенный,на солнечную сторону,,1978.0,1,панельный,открытая во дворе,https://www.avito.ru/moskva/kvartiry/kvartira-studiya_135_m_29_et._4573922582?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, 5-я Магистральная ул., 16",студия,16.6 м²,5,4,3621000,косметический,совмещенный,на солнечную сторону,,1957.0,нет,кирпичный,открытая во дворе,https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_166_m_45_et._4850211656?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Красностуденческий пр., 6",4,146 м²,18,16,63999000,дизайнерский,"совмещенный, раздельный",во двор,"балкон, лоджия",2003.0,,кирпичный,,https://www.avito.ru/moskva/kvartiry/4-k._kvartira_146_m_1618_et._4365288852?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, ул. Твардовского, 29к1",3,60.3 м²,12,4,18300000,косметический,,,,1982.0,,панельный,,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_603_m_412_et._4780403633?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Покровская ул., 31",студия,16.6 м²,17,2,4899000,евро,совмещенный,,,2011.0,1,панельный,за шлагбаумом во дворе,https://www.avito.ru/moskva/kvartiry/kvartira-studiya_166_m_217_et._4709914805?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"б-р Кронштадтский, вл.11, корп. 3",3,78 м²,32,1,27564654,,совмещенный,во двор,,,1,монолитный,"подземная, открытая во дворе",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_78_m_132_et._4641738631?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, 5-я Магистральная ул., 14с1",студия,20.6 м²,5,4,4095000,косметический,совмещенный,на улицу,,1957.0,нет,кирпичный,открытая во дворе,https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_206_m_45_et._4850167617?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Шелепихинская наб., 34к3",3,70 м²,24,12,48000000,евро,совмещенный,на улицу,,2020.0,1,монолитный,подземная,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_70_m_1224_et._4542375094?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Алтайская ул., 26",студия,12 м²,9,1,3450000,требует ремонта,совмещенный,на солнечную сторону,,1968.0,1,кирпичный,открытая во дворе,https://www.avito.ru/moskva/kvartiry/kvartira-studiya_12_m_19_et._4509651911?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Ильменский пр., 14к3",3,68 м²,45,22,34599000,дизайнерский,,,,,,монолитный,,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_68_m_2245_et._4619576012?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, ул. Покровка, 43А",студия,16.1 м²,4,4,8500018,евро,совмещенный,,,1917.0,нет,кирпичный,за шлагбаумом во дворе,https://www.avito.ru/moskva/kvartiry/kvartira-studiya_161_m_44_et._4709536339?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Очаковское ш., стр. 4.1",2,57 м²,26,10,20964600,,,,,,1,монолитный,,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_57_m_1026_et._5025922755?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, ул. 50 лет Октября, 23",студия,10.3 м²,9,1,3799850,евро,совмещенный,во двор,,1969.0,1,панельный,открытая во дворе,https://www.avito.ru/moskva/kvartiry/kvartira-studiya_103_m_19_et._4644402443?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Красноказарменная ул., 12Ас3",студия,11.5 м²,3,3,2515000,косметический,совмещенный,во двор,,1914.0,нет,кирпичный,открытая во дворе,https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_115_m_33_et._4573943541?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Береговой пр., 5Ак2",3,78 м²,25,14,37000000,дизайнерский,совмещенный,,,2017.0,2,монолитный,подземная,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_78_m_1425_et._4779507786?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, ул. Красного Маяка, 10",студия,20 м²,9,1,4800000,требует ремонта,совмещенный,,лоджия,1970.0,,панельный,,https://www.avito.ru/moskva/kvartiry/kvartira-studiya_20_m_19_et._4581373503?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Зеленоград, к1126",студия,27.8 м²,12,1,5800000,косметический,совмещенный,во двор,,,,панельный,,https://www.avito.ru/moskva_zelenograd/kvartiry/apartamenty-studiya_278_m_112_et._4697751867?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Новомосковский административный округ, р-н Коммунарка, Саларьевская ул., 13к1",1,39.5 м²,25,25,14000000,евро,совмещенный,на улицу,,,,монолитный,,https://www.avito.ru/moskva/kvartiry/1-k._kvartira_395_m_2525_et._4929939220?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Хорошёвское ш., 25Ак2",2,69.2 м²,24,6,29875000,дизайнерский,совмещенный,во двор,,2020.0,1,монолитный,подземная,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_692_m_624_et._4644429406?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, 1-й Красногвардейский пр., 22с2",2,77 м²,78,34,46700000,дизайнерский,"совмещенный, раздельный","во двор, на улицу, на солнечную сторону",,2020.0,4,монолитный,подземная,https://www.avito.ru/moskva/kvartiry/2-k._apartamenty_77_m_3478_et._4310032043?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, ул. Генерала Белова, 47",2,49.9 м²,16,16,14200000,косметический,раздельный,на улицу,лоджия,,1,панельный,,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_499_m_1616_et._4285035819?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Руновский пер., 5с2",студия,18 м²,4,3,5500000,требует ремонта,совмещенный,во двор,,2006.0,1,монолитный,,https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_18_m_34_et._4352885190?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"п. Сосненское, д. Столбово, з/у 41/1Г, д. 5",2,36.4 м²,22,5,8267100,,,,лоджия,,,монолитный,,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_364_m_522_et._4350093346?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Большая Бронная ул., 5",3,75 м²,9,2,54900000,косметический,раздельный,во двор,лоджия,1965.0,,кирпичный,,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_75_m_29_et._4300823622?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, ул. Айвазовского, 5к1",студия,14.4 м²,9,1,4650000,евро,совмещенный,во двор,,1978.0,1,панельный,открытая во дворе,https://www.avito.ru/moskva/kvartiry/kvartira-studiya_144_m_19_et._4471368757?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Фрунзенская наб., 50",1,49.6 м²,16,8,49716000,дизайнерский,совмещенный,во двор,,1956.0,1,кирпичный,,https://www.avito.ru/moskva/kvartiry/1-k._kvartira_496_m_816_et._4602893935?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, ул. Ивана Франко, 20к1",1,35.1 м²,25,2,15400000,косметический,совмещенный,на улицу,лоджия,2022.0,1,монолитный,,https://www.avito.ru/moskva/kvartiry/1-k._kvartira_351_m_225_et._4542148448?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, 2-я Вольская ул., 2",студия,13.5 м²,9,2,3100000,требует ремонта,совмещенный,на солнечную сторону,,1978.0,1,панельный,открытая во дворе,https://www.avito.ru/moskva/kvartiry/kvartira-studiya_135_m_29_et._4573922582?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, 5-я Магистральная ул., 16",студия,16.6 м²,5,4,3621000,косметический,совмещенный,на солнечную сторону,,1957.0,нет,кирпичный,открытая во дворе,https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_166_m_45_et._4850211656?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, ул. Твардовского, 29к1",3,60.3 м²,12,4,18300000,косметический,,,,1982.0,,панельный,,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_603_m_412_et._4780403633?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Покровская ул., 31",студия,16.6 м²,17,2,4899000,евро,совмещенный,,,2011.0,1,панельный,за шлагбаумом во дворе,https://www.avito.ru/moskva/kvartiry/kvartira-studiya_166_m_217_et._4709914805?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"б-р Кронштадтский, вл.11, корп. 3",3,78 м²,32,1,27564654,,совмещенный,во двор,,,1,монолитный,"подземная, открытая во дворе",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_78_m_132_et._4641738631?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, 1-й Тверской-Ямской пер., 14",студия,15.6 м²,7,1,9200023,евро,совмещенный,на солнечную сторону,,1934.0,1,кирпичный,"открытая во дворе, за шлагбаумом во дворе",https://www.avito.ru/moskva/kvartiry/kvartira-studiya_156_m_17_et._4643804494?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Новочерёмушкинская ул., 17",2,65.3 м²,18,7,29000000,дизайнерский,совмещенный,,,2020.0,2,монолитный,подземная,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_653_m_718_et._4779526076?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Донбасская ул., 6",студия,12 м²,9,1,4150000,евро,совмещенный,,,1973.0,1,панельный,открытая во дворе,https://www.avito.ru/moskva/kvartiry/kvartira-studiya_12_m_19_et._4581279117?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Красноказарменная ул., 12Ас3",студия,11.2 м²,3,3,2393000,косметический,совмещенный,во двор,,1914.0,нет,кирпичный,открытая во дворе,https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_112_m_33_et._4574081897?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Зеленоград, к812",2,48 м²,9,5,9200000,косметический,раздельный,во двор,балкон,,,панельный,,https://www.avito.ru/moskva_zelenograd/kvartiry/2-k._kvartira_48_m_59_et._4601751009?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, пр-т Лихачёва, 10к4",2,62 м²,7,5,37000000,требует ремонта,"совмещенный, раздельный",на улицу,лоджия,,,монолитный,,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_62_m_57_et._4609535830?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, пр-т Мира, 102с12",2,55.7 м²,4,3,20990000,требует ремонта,совмещенный,во двор,,,нет,монолитно-кирпичный,,https://www.avito.ru/moskva/kvartiry/2-k._apartamenty_557_m_34_et._4380675874?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, ул. Орджоникидзе, 5",студия,17.1 м²,5,1,2900000,требует ремонта,совмещенный,во двор,,,,кирпичный,открытая во дворе,https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_171_m_15_et._4512505874?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"пос. Московский, дер. Саларьево, ул. Саларьевская, д. 9",1,33.9 м²,17,13,6455100,,,,,,,монолитный,,https://www.avito.ru/moskva/kvartiry/1-k._kvartira_339_m_1317_et._4477750342?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, ул. Орджоникидзе, 7",3,88.1 м²,8,6,41760000,дизайнерский,совмещенный,во двор,,,1,монолитный,подземная,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_881_m_68_et._4698501964?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, ул. Большая Ордынка, 67",4,170 м²,7,5,130000000,дизайнерский,совмещенный,,,,,кирпичный,,https://www.avito.ru/moskva/kvartiry/4-k._kvartira_170_m_57_et._4364541457?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Снайперская ул., 7",студия,16.8 м²,9,1,3950000,требует ремонта,совмещенный,во двор,,1971.0,1,панельный,открытая во дворе,https://www.avito.ru/moskva/kvartiry/kvartira-studiya_168_m_19_et._4471294443?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Шереметьевская ул., 27",2,61 м²,22,16,22500000,евро,раздельный,на улицу,лоджия,1998.0,1,панельный,открытая во дворе,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_61_m_1622_et._4381973026?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Хорошёвское ш., 35к2",студия,20.5 м²,5,4,4066000,косметический,совмещенный,на улицу,,1957.0,нет,кирпичный,открытая во дворе,https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_205_m_45_et._4849710406?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Профсоюзная ул., 110к3",3,58.4 м²,5,4,16500000,косметический,,,,1967.0,,панельный,,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_584_m_45_et._4812111231?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, ул. Декабристов, 22",студия,10 м²,12,1,3700000,косметический,совмещенный,,,,2,панельный,открытая во дворе,https://www.avito.ru/moskva/kvartiry/kvartira-studiya_10_m_112_et._3998413259?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"ул. Нижние Поля, корп. 14.1",2,46.1 м²,33,7,14833689,,раздельный,во двор,,,1,панельный,подземная,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_461_m_733_et._4130350868?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, ул. Покровка, 43А",студия,10 м²,4,4,4500000,требует ремонта,совмещенный,во двор,,1917.0,нет,кирпичный,за шлагбаумом во дворе,https://www.avito.ru/moskva/kvartiry/kvartira-studiya_10_m_44_et._4645534085?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, 3-й Самотёчный пер., 14с4",студия,18 м²,2,2,4200000,требует ремонта,совмещенный,во двор,,1936.0,,блочный,,https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_18_m_22_et._4643510787?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Дмитровский пр., 1",3,78 м²,59,42,28900000,требует ремонта,"совмещенный, раздельный",,,2021.0,2,монолитный,подземная,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_78_m_4259_et._4651886698?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, ш. Энтузиастов, 11с7",студия,11.6 м²,3,3,2446000,косметический,совмещенный,во двор,,1914.0,нет,кирпичный,открытая во дворе,https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_116_m_33_et._4573727624?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
